source,eval_id,track,domain,system_id,rag_method,embedding_model,generator_model,judge_model,questions,passed,failed,pass_rate,score,answer_correctness,evidence_recall,context_precision,citation_validity,failure_rate,no_answer_hallucination_rate,latency_ms,estimated_cost
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,19,11,8,0.5789473684210527,0.6081871345029239,0.5789473684210527,0.631578947368421,0.17543859649122806,0.5789473684210527,0.42105263157894735,0.0,58.68421052631579,0.00086047
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,16,3,0.8421052631578947,0.8092105263157895,0.8421052631578947,0.9473684210526315,0.2763157894736842,0.8421052631578947,0.15789473684210525,0.0,59.0,0.00092149
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,17,2,0.8947368421052632,0.8399122807017544,0.8947368421052632,1.0,0.25,0.8947368421052632,0.10526315789473684,0.0,59.0,0.00203971
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,150,58,92,0.38666666666666666,0.44925925925925925,0.38666666666666666,0.41888888888888887,0.11666666666666667,0.38666666666666666,0.6133333333333333,0.0,84.13333333333334,0.20180609
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,150,60,90,0.4,0.46425925925925926,0.4,0.45555555555555555,0.13,0.4,0.6,0.0,84.60666666666667,0.18674085999999987
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,150,56,94,0.37333333333333335,0.4432407407407407,0.37333333333333335,0.41444444444444445,0.125,0.37333333333333335,0.6266666666666667,0.0,81.02666666666667,0.18031060000000002
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,20,12,8,0.6,0.6363888888888889,0.6,0.66,0.2583333333333333,0.65,0.4,0.5,58.8,0.00075331
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,20,17,3,0.85,0.8245833333333333,0.85,0.885,0.4125,0.9,0.15,0.5,58.8,0.00085077
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,20,17,3,0.85,0.80125,0.85,0.895,0.2625,0.9,0.15,0.5,59.0,0.0021913299999999996
