track,domain,system_id,embedding_model,generator_model,failure_type,count
end-to-end,finance,pageindex-oss,e5-large-v2-proxy,balanced-oss-llm,context_bloat,5
end-to-end,finance,pageindex-oss,e5-large-v2-proxy,extractive-strict,context_bloat,7
end-to-end,finance,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,finance,pageindex-oss,finance-e5-proxy,balanced-oss-llm,context_bloat,5
end-to-end,finance,pageindex-oss,finance-e5-proxy,extractive-strict,context_bloat,7
end-to-end,finance,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,finance,parent-child,none,balanced-oss-llm,context_bloat,4
end-to-end,finance,parent-child,none,balanced-oss-llm,retrieval_miss,6
end-to-end,finance,parent-child,none,extractive-strict,context_bloat,3
end-to-end,finance,parent-child,none,extractive-strict,generation_hallucination,1
end-to-end,finance,parent-child,none,extractive-strict,retrieval_miss,6
end-to-end,finance,parent-child,none,reasoning-oss-llm,context_bloat,1
end-to-end,finance,parent-child,none,reasoning-oss-llm,retrieval_miss,6
end-to-end,financebench-open-source,bm25,none,balanced-oss-llm,context_bloat,18
end-to-end,financebench-open-source,bm25,none,balanced-oss-llm,retrieval_miss,83
end-to-end,financebench-open-source,bm25,none,extractive-strict,context_bloat,16
end-to-end,financebench-open-source,bm25,none,extractive-strict,retrieval_miss,83
end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,context_bloat,9
end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,retrieval_miss,83
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,balanced-oss-llm,context_bloat,24
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,balanced-oss-llm,retrieval_miss,79
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,extractive-strict,context_bloat,21
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,extractive-strict,generation_hallucination,3
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,extractive-strict,retrieval_miss,79
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,reasoning-oss-llm,context_bloat,15
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,dense-vector,bge-m3-proxy,reasoning-oss-llm,retrieval_miss,79
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,balanced-oss-llm,context_bloat,23
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,balanced-oss-llm,retrieval_miss,80
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,extractive-strict,context_bloat,21
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,extractive-strict,generation_hallucination,3
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,extractive-strict,retrieval_miss,80
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,15
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,retrieval_miss,80
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,balanced-oss-llm,context_bloat,24
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,balanced-oss-llm,retrieval_miss,80
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,extractive-strict,context_bloat,22
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,extractive-strict,generation_hallucination,2
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,extractive-strict,retrieval_miss,80
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,reasoning-oss-llm,context_bloat,15
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,dense-vector,finance-e5-proxy,reasoning-oss-llm,retrieval_miss,80
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,balanced-oss-llm,context_bloat,23
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,balanced-oss-llm,retrieval_miss,76
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,extractive-strict,context_bloat,19
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,extractive-strict,generation_hallucination,1
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,extractive-strict,retrieval_miss,76
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,context_bloat,14
end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,retrieval_miss,76
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,balanced-oss-llm,context_bloat,21
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,balanced-oss-llm,retrieval_miss,78
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,extractive-strict,context_bloat,18
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,extractive-strict,generation_hallucination,1
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,extractive-strict,retrieval_miss,78
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,13
end-to-end,financebench-open-source,hybrid,e5-large-v2-proxy,reasoning-oss-llm,retrieval_miss,78
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,balanced-oss-llm,context_bloat,19
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,balanced-oss-llm,retrieval_miss,81
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,extractive-strict,context_bloat,15
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,extractive-strict,generation_hallucination,1
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,extractive-strict,retrieval_miss,81
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,reasoning-oss-llm,context_bloat,9
end-to-end,financebench-open-source,hybrid,finance-e5-proxy,reasoning-oss-llm,retrieval_miss,81
end-to-end,financebench-open-source,hybrid-rerank,bge-m3-proxy,balanced-oss-llm,context_bloat,18
end-to-end,financebench-open-source,hybrid-rerank,bge-m3-proxy,balanced-oss-llm,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,bge-m3-proxy,extractive-strict,context_bloat,14
end-to-end,financebench-open-source,hybrid-rerank,bge-m3-proxy,extractive-strict,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,bge-m3-proxy,reasoning-oss-llm,context_bloat,9
end-to-end,financebench-open-source,hybrid-rerank,bge-m3-proxy,reasoning-oss-llm,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,e5-large-v2-proxy,balanced-oss-llm,context_bloat,18
end-to-end,financebench-open-source,hybrid-rerank,e5-large-v2-proxy,balanced-oss-llm,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,e5-large-v2-proxy,extractive-strict,context_bloat,14
end-to-end,financebench-open-source,hybrid-rerank,e5-large-v2-proxy,extractive-strict,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,9
end-to-end,financebench-open-source,hybrid-rerank,e5-large-v2-proxy,reasoning-oss-llm,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,balanced-oss-llm,context_bloat,17
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,balanced-oss-llm,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,extractive-strict,context_bloat,13
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,extractive-strict,generation_hallucination,1
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,extractive-strict,retrieval_miss,86
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,reasoning-oss-llm,context_bloat,8
end-to-end,financebench-open-source,hybrid-rerank,finance-e5-proxy,reasoning-oss-llm,retrieval_miss,86
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,balanced-oss-llm,context_bloat,17
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,balanced-oss-llm,generation_hallucination,4
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,balanced-oss-llm,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,extractive-strict,context_bloat,15
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,extractive-strict,generation_hallucination,5
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,extractive-strict,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,context_bloat,9
