source,track,domain,system_id,rag_method,embedding_model,generator_model,judge_model,questions,pass_rate,answer_correctness,evidence_recall,context_precision,citation_validity,no_answer_hallucination_rate,calculation_pass_rate,readiness_score,status,status_ko,blocking_issues,guidance,guidance_ko
promptfoo,end-to-end,finance,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.25,0.8947368421052632,0.0,0.6666666666666666,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
promptfoo,end-to-end,finance,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.2763157894736842,0.8421052631578947,0.0,0.6666666666666666,0.8515789473684209,not_ready,운영 전 개선 필요,citation_validity,Do not use as production default yet; improve citation_validity first.,아직 운영 기본값으로 쓰기 어렵습니다. 먼저 인용 정확도를 개선해야 합니다.
promptfoo,end-to-end,finance,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,19,0.5789473684210527,0.5789473684210527,0.631578947368421,0.17543859649122806,0.5789473684210527,0.0,0.6666666666666666,0.639078947368421,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, evidence_recall, citation_validity","Do not use as production default yet; improve pass_rate, answer_correctness, evidence_recall, citation_validity first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 근거 회수율, 인용 정확도를 개선해야 합니다."
promptfoo,end-to-end,financebench-open-source,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,150,0.4,0.4,0.45555555555555555,0.13,0.4,0.0,0.1791044776119403,0.42967122719734663,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, evidence_recall, citation_validity, financebench_calculation","Do not use as production default yet; improve pass_rate, answer_correctness, evidence_recall, citation_validity, financebench_calculation first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 근거 회수율, 인용 정확도, FinanceBench 계산/표 질의를 개선해야 합니다."
promptfoo,end-to-end,financebench-open-source,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,150,0.37333333333333335,0.37333333333333335,0.41444444444444445,0.125,0.37333333333333335,0.0,0.23880597014925373,0.41515700663349914,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, evidence_recall, citation_validity, financebench_calculation","Do not use as production default yet; improve pass_rate, answer_correctness, evidence_recall, citation_validity, financebench_calculation first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 근거 회수율, 인용 정확도, FinanceBench 계산/표 질의를 개선해야 합니다."
promptfoo,end-to-end,financebench-open-source,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,150,0.38666666666666666,0.38666666666666666,0.41888888888888887,0.11666666666666667,0.38666666666666666,0.0,0.13432835820895522,0.4077964759535655,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, evidence_recall, citation_validity, financebench_calculation","Do not use as production default yet; improve pass_rate, answer_correctness, evidence_recall, citation_validity, financebench_calculation first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 근거 회수율, 인용 정확도, FinanceBench 계산/표 질의를 개선해야 합니다."
promptfoo,end-to-end,general-docs,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,20,0.85,0.85,0.895,0.2625,0.9,0.5,1.0,0.83375,not_ready,운영 전 개선 필요,no_answer_hallucination,Do not use as production default yet; improve no_answer_hallucination first.,아직 운영 기본값으로 쓰기 어렵습니다. 먼저 근거 없음 질문의 hallucination를 개선해야 합니다.
promptfoo,end-to-end,general-docs,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,20,0.85,0.85,0.885,0.4125,0.9,0.5,1.0,0.83125,not_ready,운영 전 개선 필요,no_answer_hallucination,Do not use as production default yet; improve no_answer_hallucination first.,아직 운영 기본값으로 쓰기 어렵습니다. 먼저 근거 없음 질문의 hallucination를 개선해야 합니다.
promptfoo,end-to-end,general-docs,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,20,0.6,0.6,0.66,0.2583333333333333,0.65,0.5,1.0,0.6125,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, evidence_recall, citation_validity, no_answer_hallucination","Do not use as production default yet; improve pass_rate, answer_correctness, evidence_recall, citation_validity, no_answer_hallucination first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 근거 회수율, 인용 정확도, 근거 없음 질문의 hallucination를 개선해야 합니다."
